Name,Location,Location_name,Year,Kilometers_Driven,Fuel_Type,Fuel_Type_name,Transmission,Transmission_name,Owner_Type,Owner_Type_name,Mileage,Engine,Power,Seats,Price
Maruti Wagon R LXI CNG,1,Mumbai,2010,72000,1,CNG,2,Manual,1,First,26.6,998,58.16,5,1.75
Hyundai eta 1.6 Di SX Option,2,Pune,2015,41000,2,Diesel,2,Manual,1,First,19.67,1582,126.2,5,12.5
Honda Jazz V,3,Chennai,2011,46000,3,Petrol,2,Manual,1,First,18.2,1199,88.7,5,4.5
Maruti Ertiga VDI,3,Chennai,2012,87000,2,Diesel,2,Manual,1,First,20.77,1248,88.76,7,6
Audi A4 New 2.0 TDI Multitronic,4,Coimbatore,2013,40670,2,Diesel,1,Automatic,2,Second,15.2,1968,140.8,5,17.74
Hyundai EON LPG Era Plus Option,5,Hyderabad,2012,75000,4,LPG,2,Manual,1,First,21.1,814,55.2,5,2.35
Nissan Mia Diesel XV,6,Jaipur,2013,86999,2,Diesel,2,Manual,1,First,23.08,1461,63.1,5,3.5
Toyota Innova ysta 2.8 GX AT 8S,1,Mumbai,2016,36000,2,Diesel,1,Automatic,1,First,11.36,2755,171.5,8,17.5
Volkswagen Vento Diesel Comfortline,2,Pune,2013,64430,2,Diesel,2,Manual,1,First,20.54,1598,103.6,5,5.2
Tata Indica Vista Quadrajet LS,3,Chennai,2012,65932,2,Diesel,2,Manual,2,Second,22.3,1248,74,5,1.95
Maruti Ciaz Zeta,7,Kochi,2018,25692,3,Petrol,2,Manual,1,First,21.56,1462,103.25,5,9.95
Honda City 1.5 V AT Sunroof,11,Kolkata,2012,60000,3,Petrol,1,Automatic,1,First,16.8,1497,116.3,5,4.49
Maruti Swift VDI BSIV,6,Jaipur,2015,64424,2,Diesel,2,Manual,1,First,25.2,1248,74,5,5.6
Land Rover Range Rover 2.2L Pure,8,Delhi,2014,72000,2,Diesel,1,Automatic,1,First,12.7,2179,187.7,5,27
Land Rover Freelander 2 TD4 SE,2,Pune,2012,85000,2,Diesel,1,Automatic,2,Second,0,2179,115,5,17.5
Mitsubishi Pajero Sport 4X4,8,Delhi,2014,110000,2,Diesel,2,Manual,1,First,13.5,2477,175.56,7,15
Honda Amaze S i-Dtech,7,Kochi,2016,58950,2,Diesel,2,Manual,1,First,25.8,1498,98.6,5,5.4
Maruti Swift DDiS VDI,6,Jaipur,2017,25000,2,Diesel,2,Manual,1,First,28.4,1248,74,5,5.99
Renault Duster 85PS Diesel RxL Plus,7,Kochi,2014,77469,2,Diesel,2,Manual,1,First,20.45,1461,83.8,5,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,9,Bangalore,2014,78500,2,Diesel,1,Automatic,1,First,14.84,2143,167.62,5,28
BMW 3 Series 320d,7,Kochi,2014,32982,2,Diesel,1,Automatic,1,First,22.69,1995,190,5,18.55
Maruti S oss DDiS 200 Alpha,9,Bangalore,2015,55392,2,Diesel,2,Manual,2,Second,23.65,1248,88.5,5,8.25
Audi A6 2011-2015 35 TFSI Technology,1,Mumbai,2015,55985,3,Petrol,1,Automatic,1,First,13.53,1984,177.01,5,23.5
Hyundai i20 1.2 Magna,11,Kolkata,2010,45807,3,Petrol,2,Manual,1,First,18.5,1197,80,5,1.87
Volkswagen Vento Petrol Highline AT,11,Kolkata,2010,33000,3,Petrol,1,Automatic,1,First,14.4,1598,103.6,5,2.85
Honda City Corporate Edition,1,Mumbai,2012,51920,3,Petrol,2,Manual,1,First,16.8,1497,116.3,5,4.25
Nissan Mia Diesel XV,5,Hyderabad,2012,54000,2,Diesel,2,Manual,1,First,23.08,1461,63.1,5,4.25
Maruti Alto K10 2010-2014 VXI,5,Hyderabad,2013,54000,3,Petrol,2,Manual,2,Second,20.92,998,67.1,5,2.75
Honda WRV i-VTEC VX,7,Kochi,2018,37430,3,Petrol,2,Manual,1,First,17.5,1199,88.7,5,9.9
Toyota Innova 2.5 V Diesel 7-seater,1,Mumbai,2007,262000,2,Diesel,2,Manual,4,Fourth & Above,12.8,2494,102,7,4
Renault Duster 110PS Diesel RxZ Pack,9,Bangalore,2013,62000,2,Diesel,2,Manual,1,First,19.01,1461,108.45,5,7.75
Toyota Corolla Altis G,8,Delhi,2012,87615,3,Petrol,2,Manual,1,First,14.53,1798,138.1,5,6.75
Mahindra Ssangyong Rexton RX7,9,Bangalore,2013,72000,2,Diesel,1,Automatic,2,Second,11.18,2696,184,7,12.5
Audi A6 2.7 TDI,11,Kolkata,2010,35000,2,Diesel,1,Automatic,1,First,12.4,2698,179.5,5,11.5
Volkswagen Vento 1.6 Highline,4,Coimbatore,2014,55431,3,Petrol,2,Manual,2,Second,16.09,1598,103.5,5,6.98
Maruti Wagon R LXI BSIII,6,Jaipur,2009,83816,3,Petrol,2,Manual,2,Second,14,1061,64,5,1.85
Maruti Vitara Brezza ZDi Plus,7,Kochi,2018,50075,2,Diesel,2,Manual,1,First,24.3,1248,88.5,5,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,8,Delhi,2017,52000,3,Petrol,2,Manual,1,First,18.15,1198,82,5,4.85
Mercedes-Benz M-Class ML 350 CDI,2,Pune,2013,85000,2,Diesel,1,Automatic,1,First,11.74,2987,254.8,5,28
Volkswagen Polo Diesel Trendline 1.2L,3,Chennai,2013,62000,2,Diesel,2,Manual,1,First,22.07,1199,73.9,5,5
Maruti Alto LXi,8,Delhi,2008,90000,3,Petrol,2,Manual,2,Second,19.7,796,46.3,5,1.25
Tata Nano LX SE,7,Kochi,2014,19698,3,Petrol,2,Manual,1,First,25.4,624,37.5,4,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,4,Coimbatore,2017,22033,2,Diesel,2,Manual,1,First,25.32,1198,77,6,5.58
Hyundai i20 Magna Optional 1.2,7,Kochi,2014,35487,3,Petrol,2,Manual,1,First,18.5,1197,82.9,5,4.74
Hyundai Elantra 2.0 SX Option AT,9,Bangalore,2014,46374,3,Petrol,1,Automatic,1,First,14.62,1999,149.92,5,8.85
Toyota Corolla Altis G AT,1,Mumbai,2016,52001,3,Petrol,1,Automatic,1,First,14.28,1798,138.03,5,10.11
Hyundai Elantra Di,10,Ahmedabad,2008,58005,2,Diesel,2,Manual,2,Second,14.9,1991,112.2,5,4.25
Toyota Innova ysta 2.7 GX MT,9,Bangalore,2012,70704,3,Petrol,2,Manual,1,First,11.25,2694,163.7,7,10.95
Hyundai Xcent 1.1 Di S,6,Jaipur,2014,75000,2,Diesel,2,Manual,1,First,24.4,1120,71,5,3.85
Mahindra Thar De AC,6,Jaipur,2012,75800,2,Diesel,2,Manual,2,Second,16.55,2498,105,6,5.5
